Timestamp,NetworkService,Country of Origin,Gender,Age range,How long have you been using your current network provider,Have you tried any Network asides the one you are currently on,What are the three good things about your current Network,What are the three bad things about your current Network,"Would you recommend your current network to family, friends, colleagues.",Churn
21/06/2022 13:12,EE,India,Male,25-30,0 -6,Yes,"Connectivity, network strength, internet","Cost , sometimes singal goes off ",Yes,No
21/06/2022 13:18,Giffgaff,Nigeria ,Male,30-45,7,No,Cheap bundles ,Network signal not everywhere,Yes,No
21/06/2022 13:20,EE,Uk,Male,25-30,24,No,Easy to contact support. Easy to use app. Fair prices ,Lack of signal sometimes. ,Yes,No
21/06/2022 13:22,EE,Nigeria ,Male,30-45,7,No,Gifting data to family,"High priced contracts, not enough network coverage in remote areas, comes across as too money focused rather than user focused. ",No,Yes
21/06/2022 13:24,Giffgaff,Nigeria ,Male,30-45,12,No,"Affordable price, easy connections, Good app interface ",None ,Yes,No
21/06/2022 13:24,Giffgaff,Nigeria ,Male,30-45,12,No,Reliable ,No 5g,Yes,No
21/06/2022 13:27,Lebara,Nigeria ,Female,30-45,7,Yes,"Bonuses, WiFi availability, cost",International bundle cost,Yes,No
21/06/2022 13:29,"Lebara, Telco",Nigeria,Male,30-45,7,No,"Cheap subscription,  network speed and network coverage ","Network stability, distance to recharge, broadband availability in my area.",Yes,Yes
21/06/2022 13:32,Giffgaff,France ,Male,25-30,12,No,"Constant internet
affordable 
Easy accessibility ",None ,Yes,Yes
21/06/2022 13:34,Telco,Nigeria ,Male,45 and above,24,No,"I got better deal, good customer satisfaction ",Poor service in some area ,Yes,No
21/06/2022 13:35,Lebara,Nigeria,Female,30-45,7,No,"Steady, fast and reliable ",Non,Yes,No
21/06/2022 13:37,EE,Nigeria ,Female,"25-30, 30-45",7,Yes,"Speed, coverage",Nothing ,Yes,No
21/06/2022 13:54,Lebara,Nigeria,Male,30-45,0-6,No,"Coverage, strong network,","High data tariff,",Yes,No
21/06/2022 13:58,Lebara,India,Female,25-30,7 ,No,"No credit check necessary, decent cost, ideal for international calls",Long Wait time to reach customer service ,Yes,Yes
21/06/2022 14:03,Telco,Nigeria,Male,30-45,0-6,No,"Reliable, Cheap and wide coverage ",None ,Yes,No
21/06/2022 14:04,EE,Nigeria,Male,23- 25,24,No,"The plan, the network quality, the rate",Can’t think of any,Yes,No
21/06/2022 14:04,Giffgaff,Nigeria ,Male,30-45,0-6,No,"Good package, good network reception, and excellent customer relationship ","No extra bonus, no frequent bonanza , no free data band ",Yes,No
21/06/2022 14:07,3G,Nigeria,Male,30-45,0-6,No,"Affordable, fast network ","Coverage issues, over charging ",Yes,No
21/06/2022 14:10,Lebara,Nigeria,Female,30-45,12,No,Cheap and reliable,I don't know,Yes,No
21/06/2022 14:11,3network,British,Female,30-45,24,No,Cheaper than other network,"Bad network coverage, not reliable, don't like it",No,Yes
21/06/2022 14:14,3network,India,Female,25-30,0-6,Yes,"Affordable packages, stores available near by","Facing network issues, mobile data connectivity issues",No,Yes
21/06/2022 14:14,2,Zimbabwe,Female,25-30,7,No,"Fast,Reliable,Affordable",Nothing,Yes,No
21/06/2022 14:17,Virgin,Nigeria ,Male,30-45,24,Yes,"Fast, strong, reliable ",None,Yes,No
21/06/2022 14:17,3network,Nigeria ,Male,30-45,7,No," Affordable contract ,reliable, Customer Engagement ", The networkk can be terrible ,Yes,No
21/06/2022 14:25,Giffgaff,Nigeria,Male,25-30,7,No,"Fast

Reliable

Wide reach",Automated billing,Yes,No
21/06/2022 14:30,Smarty ,Nigeria ,Female,30-45,0-6,Yes,"Price, internet service, calls",None,Yes,No
21/06/2022 14:38,Vodafone,Nigeria,Female,30-45,7,No,"1. Presence, fast connectivity and subsidised subscriptions ","It's present at any place I've been to in Southampton and Portsmouth.

It is also fast.

A few cheap subscriptions are available.
",Yes,No
21/06/2022 14:48,Giffgaff,Nigeria ,Female,30-45,0-6,No,"It’s flexible with data purchase.

It gives you an analysis on data usage and advice on the best that suits you.",I don’t have network sometimes ,Yes,No
21/06/2022 14:59,Lebara,Nigeria ,Female,25-30,0-6,No,Good tariff plan,Poor network ,Yes,No
21/06/2022 15:19,Vodafone,United Kingdom,Female,30-45,24,Yes,"Good coverage, long term customer so get good deals, ‘veryme’ benefits ","Costs when using phone abroad, not cheapest network, still some black spots for coverage ",Yes,No
21/06/2022 15:51,"EE, 02, Sky",Ghana ,Female,23- 25,12,Yes,"Fast internet
Available 
Low bills",None,Yes,No
21/06/2022 15:55,Shell,United Kingdom ,Female,25-30,0-6,Yes,It is affordable ,"It's not stable.
 it sometimes does not have full range.
 It often disconnect ",No,Yes
21/06/2022 15:58,Talktalk,United Kingdom ,Female,25-30,0-6,No,"It's smooth
It's fast
It's stable ",Nothing bad about it ,Yes,No
21/06/2022 16:04,iD Mobile,United Kingdom,Male,45 and above,24,Yes,"Good price, area of coverage and signal ",non,Yes,Yes
21/06/2022 16:09,Lebara,India,Female,30-45,7,No,Range clarity no-problems,No,Yes,No
21/06/2022 16:14,EE,India,Female,30-45,7,No,"International plan offers
Internet offers
Call clarity ","Poor network coverage
Poor 3G or above service",No,Yes
21/06/2022 16:56,EE,Zimbabwe ,Male,30-45,0-6,No,"Reliable, Affordable, Great Service ",Haven't experienced any issues yet.,Yes,No
21/06/2022 16:58,Giffgaff,Nigeria,Male,30-45,7,No,Cant say,Poor network signal in remote places and country side.,Yes,Yes
21/06/2022 17:03,Lycamobile ,Nigeria ,Female,25-30,12,No,"It’s fast , easy to top up and it’s everywhere I go ",- ,Yes,No
21/06/2022 17:20,3network,Nigeria ,Female,30-45,0-6,No,"Customer service, signal strength and affordability ",None for now,Yes,No
21/06/2022 17:38,3network,Nigeria ,Male,25-30,0-6,No,"Good signals,flexible and cheap data cost ",None ,Yes,No
21/06/2022 17:41,EE,Nigeria ,Female,45 and above,24,Yes,"Reliability, customer service ",Pricey ,Yes,No
21/06/2022 17:51,EE,Nigeria ,Female,45 and above,24,Yes,Liable ,None  ,Yes,Yes
21/06/2022 17:55,"EE, Three (the only ones I have used)",UK England,Male,30-45,24,No,#NAME?,"Network very poor
Not sure about the rest",Yes,No
21/06/2022 18:03,2,Nigeria,Female,45 and above,24,No,Affordable & Reliable,U need 2 aseu uhh,Yes,No
21/06/2022 18:14,3network,Nigeria ,Male,30-45,0-6,Yes,"It has large domain

Average tariff rate","Low Network coverage (Didn't cover the whole UK as claimed)
Data service is not unlimited as claimed
",No,Yes
21/06/2022 18:16,Giffgaff,Nigeria,Male,30-45,0-6,Yes,"Reliable,fast and affordable ",Nil,Yes,No
21/06/2022 18:20,EE,Ghana,Female,45 and above,24,No,"Easy to contact on the phone, knowlegable staff",They carry on deductions after contract,Yes,No
21/06/2022 18:28,Virgin,Nigeria,Female,30-45,24,Yes,"Good coverage, discount with having home broadband, family discount",Requirement for a long term contract,Yes,No
